1985 Ferrari                                 Testarossa                                      11
1985 Ford                                    E150 Club Wagon                                 12
1993 Chevrolet                               Caprice                                         18
1993 Chevrolet                               Caprice                                         17
1993 Chrysler                                Concorde                                        19
1993 Chrysler                                Fifth Avenue/Imperial                           20
1993 Chrysler                                Fifth Avenue/Imperial                           19
1993 Dodge                                   Intrepid                                        19
1993 Eagle                                   Vision                                          19
1985 Ford                                    E150 Club Wagon                                 11
1993 Ford                                    LTD Crown Victoria                              19
1993 Lincoln                                 Continental                                     18
1993 Mercury                                 Grand Marquis                                   19
1993 Lincoln                                 Town Car                                        19
1993 Mercedes-Benz                           300SD                                           19
1993 Mercedes-Benz                           300SE                                           15
1993 Mercedes-Benz                           400SEL                                          14
1993 Mercedes-Benz                           500SEL                                          13
1993 Oldsmobile                              Eighty-Eight                                    20
1993 Oldsmobile                              Ninety-Eight                                    20
1985 GMC                                     G15/25 Rally 2WD                                15
1993 Oldsmobile                              Ninety-Eight                                    18
1993 Pontiac                                 Bonneville                                      18
1993 Pontiac                                 Bonneville                                      20
1993 Rolls-Royce                             Silver Spur II Mpw Touring L                    11
1993 Saab                                    9000                                            18
1993 Saab                                    9000                                            18
1993 Saab                                    9000                                            19
1993 Saab                                    9000                                            20
1993 Audi                                    100 quattro Wagon                               18
1993 BMW                                     525i Touring                                    19
1985 GMC                                     G15/25 Rally 2WD                                16
1993 CX Automotive                           XM v6 Break                                     15
1985 GMC                                     G15/25 Rally 2WD                                15
1993 Subaru                                  Legacy Wagon AWD Turbo                          18
1985 GMC                                     G15/25 Rally 2WD                                12
1993 Buick                                   Century Wagon                                   19
1993 Eagle                                   Summit Wagon                                    20
1993 Eagle                                   Summit Wagon                                    19
1985 GMC                                     G15/25 Rally 2WD                                14
1993 Eagle                                   Summit Wagon                                    20
1993 Eagle                                   Summit Wagon                                    19
1993 Ford                                    Taurus Wagon                                    20
1993 Mercury                                 Sable Wagon                                     20
1993 Mitsubishi                              Expo                                            19
1993 Mitsubishi                              Expo                                            20
1993 Mitsubishi                              Expo                                            19
1985 GMC                                     G15/25 Rally 2WD                                13
1993 Mitsubishi                              Expo.LRV                                        20
1993 Mitsubishi                              Expo.LRV                                        20
1993 Mitsubishi                              Expo.LRV                                        19
1993 Mitsubishi                              Expo.LRV                                        19
1985 GMC                                     G15/25 Rally 2WD                                18
1993 Oldsmobile                              Cutlass Cruiser                                 19
1993 Mitsubishi                              Diamante Wagon                                  19
1993 Plymouth                                Colt Vista                                      20
1993 Plymouth                                Colt Vista                                      19
1993 Plymouth                                Colt Vista                                      20
1993 Plymouth                                Colt Vista                                      19
1985 Dodge                                   Charger                                         20
1985 GMC                                     G15/25 Rally 2WD                                17
1993 Toyota                                  Camry Wagon                                     19
1993 Volkswagen                              Passat Wagon                                    18
1993 Volkswagen                              Passat Wagon                                    20
1993 Volvo                                   240 Wagon                                       20
1993 Volvo                                   940 Wagon                                       19
1985 GMC                                     G35 Rally 2WD                                   11
1993 Volvo                                   940 Wagon                                       20
1993 Volvo                                   960 Wagon                                       18
1993 Buick                                   Roadmaster Wagon                                17
1993 Chevrolet                               Caprice Wagon                                   18
1993 Chevrolet                               Caprice Wagon                                   17
1993 Chevrolet                               S10 Pickup 2WD                                  20
1993 Chevrolet                               S10 Pickup 2WD                                  19
1993 Chevrolet                               S10 Pickup 2WD                                  18
1993 Chevrolet                               S10 Pickup 2WD                                  18
1985 GMC                                     Safari 2WD (passenger)                          20
1993 Nissan                                  Truck 2WD                                       20
1993 Nissan                                  Truck 2WD                                       18
1993 Dodge                                   Ram 50 Pickup 2WD                               19
1993 Dodge                                   Ram 50 Pickup 2WD                               19
1993 GMC                                     Sonoma 2WD                                      20
1993 GMC                                     Sonoma 2WD                                      19
1993 GMC                                     Sonoma 2WD                                      18
1993 GMC                                     Sonoma 2WD                                      18
1993 GMC                                     Sonoma 2WD                                      18
1993 Isuzu                                   Pickup 2WD                                      20
1993 Isuzu                                   Pickup 2WD                                      19
1993 Isuzu                                   Pickup 2WD                                      18
1993 Mitsubishi                              Truck 2WD                                       19
1993 Mitsubishi                              Truck 2WD                                       19
1993 Chevrolet                               C1500 Pickup 2WD                                17
1993 Chevrolet                               C1500 Pickup 2WD                                17
1993 Chevrolet                               C1500 Pickup 2WD                                16
1993 Chevrolet                               C1500 Pickup 2WD                                16
1993 Chevrolet                               C1500 Pickup 2WD                                15
1993 Chevrolet                               C1500 Pickup 2WD                                15
1993 Chevrolet                               C1500 Pickup 2WD                                14
1993 Chevrolet                               C1500 Pickup 2WD                                14
1993 Chevrolet                               C1500 Pickup 2WD                                14
1993 Chevrolet                               C1500 Pickup 2WD                                10
1993 Chevrolet                               Pickup 2500 2WD                                 17
1993 Chevrolet                               Pickup 2500 2WD                                 16
1993 Chevrolet                               Pickup 2500 2WD                                 16
1993 Chevrolet                               Pickup 2500 2WD                                 14
1985 GMC                                     Safari 2WD (passenger)                          17
1993 Chevrolet                               Pickup 2500 2WD                                 15
1993 Chevrolet                               Pickup 2500 2WD                                 14
1993 Chevrolet                               Pickup 2500 2WD                                 14
1993 Chevrolet                               Pickup 2500 2WD                                 13
1993 Dodge                                   Dakota Pickup 2WD                               16
1993 Dodge                                   Dakota Pickup 2WD                               16
1993 Dodge                                   Dakota Pickup 2WD                               14
1993 Dodge                                   D100/D150 Pickup 2WD                            15
1993 Dodge                                   D100/D150 Pickup 2WD                            15
1985 GMC                                     Safari 2WD (passenger)                          16
1993 Dodge                                   D100/D150 Pickup 2WD                            15
1993 Dodge                                   D100/D150 Pickup 2WD                            13
1993 Dodge                                   D100/D150 Pickup 2WD                            13
1993 Dodge                                   D100/D150 Pickup 2WD                            13
1993 Dodge                                   D100/D150 Pickup 2WD                            12
1993 Dodge                                   D250 Pickup 2WD                                 14
1993 Dodge                                   D250 Pickup 2WD                                 13
1993 Dodge                                   D250 Pickup 2WD                                 13
1993 Dodge                                   D250 Pickup 2WD                                 13
1993 Dodge                                   D250 Pickup 2WD                                 13
1985 GMC                                     Safari 2WD (passenger)                          17
1993 Dodge                                   D250 Pickup 2WD                                 12
1993 Jeep                                    Comanche Pickup 4WD                             19
1993 Jeep                                    Comanche Pickup 4WD                             18
1993 Jeep                                    Comanche Pickup 4WD                             15
1993 Jeep                                    Comanche Pickup 4WD                             16
1993 Ford                                    F150 Pickup 2WD                                 15
1993 Ford                                    F150 Pickup 2WD                                 15
1993 Ford                                    F150 Pickup 2WD                                 15
1993 Ford                                    F150 Pickup 2WD                                 15
1993 Ford                                    F150 Pickup 2WD                                 15
1985 Toyota                                  Van 2WD                                         20
1993 Ford                                    F150 Pickup 2WD                                 14
1993 Ford                                    F150 Pickup 2WD                                 15
1993 Ford                                    F150 Pickup 2WD                                 13
1993 Ford                                    F250 Pickup 2WD                                 15
1993 Ford                                    F250 Pickup 2WD                                 15
1993 Ford                                    F250 Pickup 2WD                                 15
1993 Ford                                    F250 Pickup 2WD                                 14
1993 Ford                                    F250 Pickup 2WD                                 14
1993 Ford                                    F250 Pickup 2WD                                 15
1993 Ford                                    F250 Pickup 2WD                                 12
1993 Ford                                    Ranger Pickup 2WD                               20
1993 Ford                                    Ranger Pickup 2WD                               18
1993 Ford                                    Ranger Pickup 2WD                               19
1993 Ford                                    Ranger Pickup 2WD                               17
1993 Ford                                    Ranger Pickup 2WD                               18
1993 GMC                                     Sierra 1500 2WD                                 17
1993 GMC                                     Sierra 1500 2WD                                 17
1993 GMC                                     Sierra 1500 2WD                                 16
1993 GMC                                     Sierra 1500 2WD                                 16
1985 Volkswagen                              Vanagon 2WD                                     16
1993 GMC                                     Sierra 1500 2WD                                 15
1993 GMC                                     Sierra 1500 2WD                                 15
1993 GMC                                     Sierra 1500 2WD                                 14
1993 GMC                                     Sierra 1500 2WD                                 14
1993 GMC                                     Sierra 1500 2WD                                 14
1993 GMC                                     Sierra 2500 2WD                                 17
1993 GMC                                     Sierra 2500 2WD                                 16
1993 GMC                                     Sierra 2500 2WD                                 16
1993 GMC                                     Sierra 2500 2WD                                 14
1993 GMC                                     Sierra 2500 2WD                                 15
1985 Volkswagen                              Vanagon 2WD                                     17
1993 GMC                                     Sierra 2500 2WD                                 14
1993 GMC                                     Sierra 2500 2WD                                 14
1993 GMC                                     Sierra 2500 2WD                                 13
1993 Mazda                                   B2200/B2600i                                    20
1993 Mazda                                   B2200/B2600i                                    20
1993 Mazda                                   B2200/B2600i                                    20
1993 Mazda                                   B2200/B2600i                                    19
1993 Mazda                                   B2200/B2600i                                    19
1985 AM General                              Post Office DJ5 2WD                             16
1993 Toyota                                  T100 2WD                                        18
1993 Toyota                                  T100 2WD                                        16
1993 Toyota                                  T100 2WD                                        17
1993 Chevrolet                               K1500 Pickup 4WD                                15
1993 Chevrolet                               K1500 Pickup 4WD                                15
1993 Chevrolet                               K1500 Pickup 4WD                                16
1993 Chevrolet                               K1500 Pickup 4WD                                14
1993 Chevrolet                               K1500 Pickup 4WD                                13
1993 Chevrolet                               K1500 Pickup 4WD                                13
1985 AM General                              Post Office DJ8 2WD                             13
1993 Chevrolet                               K1500 Pickup 4WD                                13
1993 Chevrolet                               K1500 Pickup 4WD                                12
1993 Chevrolet                               K1500 Pickup 4WD                                17
1993 Chevrolet                               Pickup 2500 4WD                                 15
1993 Chevrolet                               Pickup 2500 4WD                                 14
1993 Chevrolet                               Pickup 2500 4WD                                 15
1993 Chevrolet                               Pickup 2500 4WD                                 14
1993 Chevrolet                               Pickup 2500 4WD                                 13
1993 Chevrolet                               Pickup 2500 4WD                                 13
1993 Chevrolet                               Pickup 2500 4WD                                 13
1985 Chevrolet                               Suburban C10 2WD                                14
1993 Chevrolet                               Pickup 2500 4WD                                 12
1993 Chevrolet                               Pickup 2500 4WD                                 17
1993 Chevrolet                               S10 Pickup 4WD                                  16
1993 Chevrolet                               S10 Pickup 4WD                                  16
1993 Nissan                                  Truck 4WD                                       18
1993 Nissan                                  Truck 4WD                                       15
1993 Nissan                                  Truck 4WD                                       15
1993 Dodge                                   Dakota Pickup 4WD                               14
1993 Dodge                                   Dakota Pickup 4WD                               15
1993 Dodge                                   Dakota Pickup 4WD                               13
1985 Chevrolet                               Suburban C10 2WD                                13
1993 Dodge                                   Power Ram 50 4WD                                17
1993 Dodge                                   Power Ram 50 4WD                                18
1993 Dodge                                   W100/W150 Pickup 4WD                            14
1993 Dodge                                   W100/W150 Pickup 4WD                            13
1993 Dodge                                   W100/W150 Pickup 4WD                            13
1993 Dodge                                   W100/W150 Pickup 4WD                            13
1993 Dodge                                   W100/W150 Pickup 4WD                            12
1993 Dodge                                   W100/W150 Pickup 4WD                            11
1993 Dodge                                   W250 Pickup 4WD                                 12
1993 Dodge                                   W250 Pickup 4WD                                 13
1985 Chevrolet                               Suburban C10 2WD                                18
1993 Dodge                                   W250 Pickup 4WD                                 12
1993 Dodge                                   W250 Pickup 4WD                                 11
1993 Jeep                                    Comanche Pickup 2WD                             19
1993 Jeep                                    Comanche Pickup 2WD                             19
1993 Jeep                                    Comanche Pickup 2WD                             16
1993 Jeep                                    Comanche Pickup 2WD                             17
1993 Ford                                    F150 Pickup 4WD                                 14
1993 Ford                                    F150 Pickup 4WD                                 15
1993 Ford                                    F150 Pickup 4WD                                 15
1993 Ford                                    F150 Pickup 4WD                                 14
1985 Chevrolet                               S10 Blazer 2WD                                  20
1993 Ford                                    F150 Pickup 4WD                                 14
1993 Ford                                    F150 Pickup 4WD                                 13
1993 Ford                                    F150 Pickup 4WD                                 13
1993 Ford                                    F150 Pickup 4WD                                 12
1993 Ford                                    Ranger Pickup 4WD                               18
1993 Ford                                    Ranger Pickup 4WD                               18
1993 Ford                                    Ranger Pickup 4WD                               17
1993 Ford                                    Ranger Pickup 4WD                               18
1993 GMC                                     Sierra 1500 4WD                                 15
1993 GMC                                     Sierra 1500 4WD                                 15
1993 GMC                                     Sierra 1500 4WD                                 16
1993 GMC                                     Sierra 1500 4WD                                 14
1993 GMC                                     Sierra 1500 4WD                                 13
1993 GMC                                     Sierra 1500 4WD                                 13
1993 GMC                                     Sierra 1500 4WD                                 13
1993 GMC                                     Sierra 1500 4WD                                 12
1993 GMC                                     Sierra 1500 4WD                                 17
1993 GMC                                     Sierra 2500 4WD                                 15
1993 GMC                                     Sierra 2500 4WD                                 14
1993 GMC                                     Sierra 2500 4WD                                 15
1993 GMC                                     Sierra 2500 4WD                                 14
1993 GMC                                     Sierra 2500 4WD                                 13
1993 GMC                                     Sierra 2500 4WD                                 13
1993 GMC                                     Sierra 2500 4WD                                 13
1993 GMC                                     Sierra 2500 4WD                                 12
1993 GMC                                     Sierra 2500 4WD                                 17
1993 GMC                                     Sonoma 4WD                                      16
1993 GMC                                     Sonoma 4WD                                      16
1993 GMC                                     Sonoma 4WD                                      16
1985 Chevrolet                               S10 Blazer 2WD                                  18
1993 Isuzu                                   Pickup 4WD                                      17
1993 Isuzu                                   Pickup 4WD                                      15
1993 Mitsubishi                              Truck 4WD                                       17
1993 Mitsubishi                              Truck 4WD                                       18
1993 Mitsubishi                              Truck 4WD                                       17
1993 Mazda                                   B2600i 4x4                                      17
1993 Mazda                                   B2600i 4x4                                      17
1993 Toyota                                  Truck 4WD/T100 4WD                              17
1993 Toyota                                  Truck 4WD/T100 4WD                              18
1993 Toyota                                  Truck 4WD/T100 4WD                              13
1985 Chevrolet                               S10 Blazer 2WD                                  19
1993 Toyota                                  Truck 4WD/T100 4WD                              14
1993 Toyota                                  Truck 4WD/T100 4WD                              15
1993 Chevrolet                               Astro AWD (cargo)                               16
1993 Chevrolet                               Astro 2WD (cargo)                               17
1993 Chevrolet                               Astro 2WD (cargo)                               17
1993 Chevrolet                               G10/20 Van 2WD                                  17
1993 Chevrolet                               G10/20 Van 2WD                                  15
1993 Chevrolet                               G10/20 Van 2WD                                  14
1993 Chevrolet                               G30 Van 2WD                                     16
1993 Chevrolet                               G30 Van 2WD                                     14
1985 Chevrolet                               S10 Blazer 2WD                                  18
1993 Dodge                                   B150/B250 Van 2WD                               14
1993 Dodge                                   B150/B250 Van 2WD                               15
1993 Dodge                                   B150/B250 Van 2WD                               14
1993 Dodge                                   B150/B250 Van 2WD                               12
1993 Dodge                                   B150/B250 Van 2WD                               13
1993 Dodge                                   B150/B250 Van 2WD                               13
1993 Dodge                                   B350 Van 2WD                                    14
1993 Dodge                                   B350 Van 2WD                                    13
1993 Dodge                                   B350 Van 2WD                                    12
1993 Ford                                    Aerostar Van                                    18
1985 Dodge                                   AD100/AD150 Ramcharger 2WD                      11
1993 Ford                                    Aerostar Van                                    19
1993 Ford                                    Aerostar Van                                    17
1993 Ford                                    Aerostar Van AWD                                17
1993 Ford                                    E150 Econoline 2WD                              14
1993 Ford                                    E150 Econoline 2WD                              15
1993 Ford                                    E150 Econoline 2WD                              14
1993 Ford                                    E150 Econoline 2WD                              14
1993 Ford                                    E150 Econoline 2WD                              12
1993 Ford                                    E250 Econoline 2WD                              13
1993 Ford                                    E250 Econoline 2WD                              14
1985 Dodge                                   AD100/AD150 Ramcharger 2WD                      12
1993 Ford                                    E250 Econoline 2WD                              11
1993 GMC                                     Vandura G15/25 2WD                              17
1993 GMC                                     Vandura G15/25 2WD                              15
1993 GMC                                     Vandura G15/25 2WD                              14
1993 GMC                                     Vandura G35 2WD                                 17
1993 GMC                                     Vandura G35 2WD                                 14
1993 GMC                                     Safari AWD (cargo)                              16
1993 GMC                                     Safari 2WD (cargo)                              17
1993 GMC                                     Safari 2WD (cargo)                              17
1993 Chevrolet                               Astro AWD (passenger)                           15
1985 Dodge                                   AD100/AD150 Ramcharger 2WD                      13
1993 Chevrolet                               Astro 2WD (passenger)                           16
1993 Chevrolet                               Astro 2WD (passenger)                           17
1993 Chevrolet                               Sport Van G10/20 2WD                            15
1993 Chevrolet                               Sport Van G10/20 2WD                            13
1993 Chevrolet                               Sport Van G10/20 2WD                            13
1993 Chevrolet                               Sport Van G30 2WD                               13
1993 Dodge                                   B150/B250 Wagon 2WD                             14
1993 Dodge                                   B150/B250 Wagon 2WD                             14
1993 Dodge                                   B150/B250 Wagon 2WD                             14
1993 Dodge                                   B150/B250 Wagon 2WD                             12
1985 Dodge                                   AD100/AD150 Ramcharger 2WD                      11
1993 Dodge                                   B150/B250 Wagon 2WD                             13
1993 Dodge                                   B150/B250 Wagon 2WD                             12
1993 Dodge                                   B350 Wagon 2WD                                  12
1993 Dodge                                   B350 Wagon 2WD                                  12
1993 Ford                                    Aerostar Wagon                                  17
1993 Ford                                    Aerostar Wagon                                  17
1993 Ford                                    Aerostar Wagon                                  17
1993 Ford                                    Aerostar Wagon AWD                              16
1993 Ford                                    E150 Club Wagon                                 14
1993 Ford                                    E150 Club Wagon                                 14
1985 Dodge                                   Caravan/Ram Van 2WD                             17
1993 Ford                                    E150 Club Wagon                                 13
1993 Ford                                    E150 Club Wagon                                 12
1993 GMC                                     Rally G15/25 2WD                                15
1993 GMC                                     Rally G15/25 2WD                                13
1993 GMC                                     Rally G15/25 2WD                                13
1993 GMC                                     Rally G35 2WD                                   13
1993 GMC                                     Safari AWD (passenger)                          15
1993 GMC                                     Safari 2WD (passenger)                          16
1993 GMC                                     Safari 2WD (passenger)                          17
1993 Toyota                                  Previa                                          17
1985 Dodge                                   Caravan/Ram Van 2WD                             18
1993 Toyota                                  Previa                                          18
1993 Toyota                                  Previa All-Trac                                 17
1993 Volkswagen                              Eurovan                                         16
1993 Volkswagen                              Eurovan                                         17
1993 Chevrolet                               Lumina/APV Minivan 2WD                          18
1993 Chevrolet                               Lumina/APV Minivan 2WD                          18
1993 Chevrolet                               Suburban 1500 2WD                               13
1993 Chevrolet                               S10 Blazer 2WD                                  18
1993 Chevrolet                               S10 Blazer 2WD                                  18
1993 Nissan                                  Pathfinder 2WD                                  16
1993 Nissan                                  Pathfinder 2WD                                  15
1993 Nissan                                  Quest                                           18
1993 Chrysler                                Town and Country 2WD                            18
1993 Dodge                                   Caravan C/V/Grand Caravan 2WD                   20
1993 Dodge                                   Caravan C/V/Grand Caravan 2WD                   19
1993 Dodge                                   Caravan C/V/Grand Caravan 2WD                   18
1993 Dodge                                   Caravan/Grand Caravan 2WD                       20
1993 Dodge                                   Caravan/Grand Caravan 2WD                       19
1993 Dodge                                   Caravan/Grand Caravan 2WD                       18
1993 Dodge                                   Ramcharger 2WD                                  13
1993 Dodge                                   Ramcharger 2WD                                  13
1993 Jeep                                    Cherokee 2WD                                    19
1993 Jeep                                    Cherokee 2WD                                    16
1993 Jeep                                    Cherokee 2WD                                    17
1993 Ford                                    Explorer 2WD                                    17
1993 Ford                                    Explorer 2WD                                    18
1993 Mercury                                 Villager FWD Van                                18
1993 Mercury                                 Villager FWD Wagon                              18
1993 GMC                                     Suburban 1500 2WD                               13
